,k,rmse,mae,it,normalize
0,5,0.8653387980447164,0.6435285028049275,0,none
1,6,0.8602255627777426,0.6410830058114136,0,none
2,7,0.8571691857949825,0.639434598791643,0,none
3,8,0.8551100582165999,0.6381524044667751,0,none
4,9,0.8537026078620887,0.6371789365415406,0,none
5,10,0.8520788963663941,0.6365854780220432,0,none
6,11,0.8541779740146941,0.6386174881362814,0,none
7,12,0.856152171056684,0.6409303731081418,0,none
8,13,0.8563916285973419,0.6418063488908938,0,none
9,14,0.8568860834813756,0.6429220828999171,0,none
10,15,0.8571703620712083,0.6438638583806373,0,none
11,16,0.8580019078339228,0.6453524035114784,0,none
12,5,0.8102478196540592,0.6038407232900022,0,movieId
13,6,0.8053407751850876,0.6017582516055986,0,movieId
14,7,0.8025871676893575,0.6003410671924899,0,movieId
15,8,0.8001985499606665,0.5989735706762811,0,movieId
16,9,0.7976766825383245,0.5985801801192311,0,movieId
17,10,0.7967415951836648,0.598758224070643,0,movieId
18,11,0.7959156911506812,0.5994289186742398,0,movieId
19,12,0.7958575176713565,0.6004015348897902,0,movieId
20,13,0.7965967593562795,0.6011623347254397,0,movieId
21,14,0.7968450596467415,0.6016376564998431,0,movieId
22,15,0.796449952384238,0.6015574769219183,0,movieId
23,16,0.7971792697099813,0.6017169952368929,0,movieId
24,5,0.8439894630970017,0.6183110395923391,0,userId
25,6,0.839829818379413,0.6168963089610786,0,userId
26,7,0.836033600096326,0.615775635407538,0,userId
27,8,0.8336506191558286,0.6153526888981481,0,userId
28,9,0.8312288743699354,0.6142128585317382,0,userId
29,10,0.8276615955373641,0.6122472098900263,0,userId
30,11,0.8259534942653067,0.6125132718980111,0,userId
31,12,0.8263341296577318,0.6129860424477233,0,userId
32,13,0.8269360634372537,0.6138009437956596,0,userId
33,14,0.8254599554039609,0.6129032444920515,0,userId
34,15,0.8261055021629948,0.6138321104566175,0,userId
35,16,0.8271472474851552,0.6147561273529294,0,userId
36,5,0.8698881817696164,0.6448631515395438,1,none
37,6,0.8613136595458596,0.6413631179982556,1,none
38,7,0.8589050843600278,0.6410265072017867,1,none
39,8,0.8553121062009589,0.6392341445533738,1,none
40,9,0.8559468804792549,0.6395758464384054,1,none
41,10,0.8551544375735127,0.638891604136125,1,none
42,11,0.8550944834043712,0.6386199196925669,1,none
43,12,0.8534116589300942,0.6378686710418445,1,none
44,13,0.8541664447116053,0.6389642456557294,1,none
45,14,0.8547723759787583,0.6392724753612263,1,none
46,15,0.8555258404377609,0.640520450904835,1,none
47,16,0.8558758409851075,0.6413803657099585,1,none
48,5,0.8059768033935175,0.6088462965871545,1,movieId
49,6,0.7985516108013007,0.6039642776146278,1,movieId
50,7,0.7969455830312742,0.6018264737907244,1,movieId
51,8,0.7953938415570283,0.6005629622373786,1,movieId
52,9,0.7951813881702064,0.6011965769443706,1,movieId
53,10,0.795149011080503,0.6017846112047498,1,movieId
54,11,0.7942580397102664,0.6008677724560658,1,movieId
55,12,0.79475987732487,0.6018592872594745,1,movieId
56,13,0.7945022779689135,0.6012062882233208,1,movieId
57,14,0.7948459465669792,0.6015119455318195,1,movieId
58,15,0.7945809103012196,0.6015285457644962,1,movieId
59,16,0.7939905987627334,0.601211570552626,1,movieId
60,5,0.8284750055790738,0.6160718474581941,1,userId
61,6,0.8213410850003592,0.6113736134848041,1,userId
62,7,0.817915225990756,0.6111043291348883,1,userId
63,8,0.8172057306869169,0.6107713141555003,1,userId
64,9,0.8158095851915208,0.6107056885620886,1,userId
65,10,0.8145877101982945,0.6101700720166128,1,userId
66,11,0.8133175818742429,0.6096006906590461,1,userId
67,12,0.8142564400223832,0.6102598661071056,1,userId
68,13,0.8151783007119943,0.6112967719645556,1,userId
69,14,0.8160988291422702,0.6121363867581343,1,userId
70,15,0.8172047149114732,0.6129973785862463,1,userId
71,16,0.818868204475146,0.613864055306199,1,userId
72,5,0.8703552827683562,0.6447350771294437,2,none
73,6,0.8626057690698148,0.6420070422535205,2,none
74,7,0.8585158019381018,0.6412872472932797,2,none
75,8,0.8560282722857812,0.6399874844303919,2,none
76,9,0.852419370197427,0.637335461179791,2,none
77,10,0.8530461532879499,0.6388020384210048,2,none
78,11,0.8536103822382234,0.6395250126298903,2,none
79,12,0.8541135198445529,0.6409498495300817,2,none
80,13,0.8555194798542042,0.6430331828634089,2,none
81,14,0.8546348622829738,0.6429983585328147,2,none
82,15,0.8561768622524705,0.6439787647798193,2,none
83,16,0.8569539768554366,0.6445595411044355,2,none
84,5,0.8009871725661323,0.5997966082612252,2,movieId
85,6,0.7938249841270458,0.5953271480168018,2,movieId
86,7,0.7912680501864064,0.5928971933490548,2,movieId
87,8,0.7878345636797145,0.5920546455651375,2,movieId
88,9,0.7873232415228856,0.5914353518096386,2,movieId
89,10,0.7871277986755627,0.5914540079421059,2,movieId
90,11,0.7887787779721205,0.5921830794755721,2,movieId
91,12,0.7887950380289644,0.5919782549971311,2,movieId
92,13,0.7885194109609146,0.5921947026534429,2,movieId
93,14,0.7882088356527812,0.5919607712671497,2,movieId
94,15,0.7890860365793624,0.5926059466099955,2,movieId
95,16,0.7897501058358634,0.5933151571084115,2,movieId
96,5,0.8349109521228641,0.6217388385364189,2,userId
97,6,0.8255842377789193,0.6174387378314874,2,userId
98,7,0.8228849372257904,0.6166474847743717,2,userId
