,k,rmse,mae,it,normalize
0,5,0.8551082100819215,0.6482051875868426,0,none
1,6,0.8459762531260937,0.6423209047398455,0,none
2,7,0.8409331110856529,0.6371087805200794,0,none
3,8,0.8386638426808134,0.6362248147290412,0,none
4,9,0.8357163618026817,0.6341091554732257,0,none
5,10,0.8344395544787786,0.6339856415006958,0,none
6,11,0.8341668431499147,0.6344214493241797,0,none
7,12,0.8335735719792264,0.6337810714837118,0,none
8,13,0.8342767744612531,0.6356619873873147,0,none
9,14,0.8331436240907647,0.6345848454463525,0,none
10,15,0.8340037162356554,0.6357780786451448,0,none
11,16,0.8346015362400657,0.6364759808375198,0,none
12,5,0.8518288076205491,0.6440110203823288,0,movieId
13,6,0.8428180158089847,0.6380975256477772,0,movieId
14,7,0.8394876422157316,0.635928285726866,0,movieId
15,8,0.8339616063230114,0.6319846486893897,0,movieId
16,9,0.8310085927507816,0.6304173116192986,0,movieId
17,10,0.8288109734525109,0.6295239570898383,0,movieId
18,11,0.8272806584957707,0.6283728042277483,0,movieId
19,12,0.8267138410944451,0.6282838235702449,0,movieId
20,13,0.8260640046476838,0.6278410196566697,0,movieId
21,14,0.8242913879508422,0.6266570780300456,0,movieId
22,15,0.8242096490565796,0.6272605417992494,0,movieId
23,16,0.8243498801681335,0.6275180103890355,0,movieId
24,5,0.8640520743920134,0.6506195715112871,0,userId
25,6,0.8585552929301948,0.6474522292993645,0,userId
26,7,0.8524016166833926,0.644701795020267,0,userId
27,8,0.8490474583710265,0.6433555298204979,0,userId
28,9,0.8452562323474577,0.6417937335134895,0,userId
29,10,0.8434652736711119,0.6408434665122605,0,userId
30,11,0.8404570923296609,0.6388710498148794,0,userId
31,12,0.8376000594646864,0.6368654699864876,0,userId
32,13,0.8365799848822967,0.6358677416002192,0,userId
33,14,0.8354118113953236,0.6348614230779813,0,userId
34,15,0.8344332754172611,0.6342787997565071,0,userId
35,16,0.8341134988654095,0.6342329591851884,0,userId
36,5,0.8758175478257313,0.6622689463955603,1,none
37,6,0.8662926234698732,0.6552391404805912,1,none
38,7,0.8615726594261671,0.6539064562978577,1,none
39,8,0.8564571958624091,0.6499032463031423,1,none
40,9,0.8538939819746226,0.6480604333538847,1,none
41,10,0.8528560192414529,0.6479956099815205,1,none
42,11,0.8521126298966707,0.6461613594353854,1,none
43,12,0.853133166064848,0.6469000308071453,1,none
44,13,0.8529494035124612,0.6473784302573522,1,none
45,14,0.8533223958375769,0.6479306737624655,1,none
46,15,0.8543661629979581,0.648289907104602,1,none
47,16,0.8553333772916765,0.6486114567041092,1,none
48,5,0.8559666164011039,0.6512197123792625,1,movieId
49,6,0.8489396930283482,0.6465341765318292,1,movieId
50,7,0.8449396266136519,0.6434481623320877,1,movieId
51,8,0.8405613333391844,0.6412602668759271,1,movieId
52,9,0.8374969607958375,0.6396565301110955,1,movieId
53,10,0.8350185444387551,0.6388001483667501,1,movieId
54,11,0.8328097428311133,0.6364163000699424,1,movieId
55,12,0.8315519058687791,0.6351911993580038,1,movieId
56,13,0.8300681686678568,0.6345559165485759,1,movieId
57,14,0.8277119033197058,0.6326969046497444,1,movieId
58,15,0.8277657705807944,0.6324678086685428,1,movieId
59,16,0.8268241072237825,0.6320655848975367,1,movieId
60,5,0.8484597517447359,0.6401531855634167,1,userId
61,6,0.8387463935815831,0.6336215233453238,1,userId
62,7,0.8337238634328998,0.6297269517067566,1,userId
63,8,0.8312420569947911,0.6290327260067309,1,userId
64,9,0.826226145303504,0.6261717792993258,1,userId
65,10,0.82593380323429,0.626505744458631,1,userId
66,11,0.8253902736509535,0.6267631637249805,1,userId
67,12,0.8239365418680374,0.6256092607636068,1,userId
68,13,0.8229762473774358,0.6252131296810349,1,userId
69,14,0.8226988197014922,0.6247948407632736,1,userId
70,15,0.8226868455308942,0.6250109141950838,1,userId
71,16,0.8228585926654842,0.6251832963079625,1,userId
72,5,0.8688943649759553,0.6560625361899225,2,none
73,6,0.8631017724614993,0.6532715691951363,2,none
74,7,0.8621150624557014,0.6529241459177737,2,none
75,8,0.856927263019088,0.6481615518239722,2,none
76,9,0.8526372948106562,0.6446760599626964,2,none
77,10,0.8501315203586169,0.6427066846812098,2,none
78,11,0.8506294158308956,0.6434378527603773,2,none
79,12,0.849989902504227,0.6428456539921518,2,none
80,13,0.8498396006394223,0.642879060076507,2,none
81,14,0.8499121550960979,0.642676078344869,2,none
82,15,0.850257325741956,0.643244639295595,2,none
83,16,0.8495085692870797,0.6432757626308582,2,none
84,5,0.8619736003847603,0.65512656102447,2,movieId
85,6,0.8563550442995591,0.6501811748295747,2,movieId
86,7,0.8509581821342469,0.6459446911159785,2,movieId
87,8,0.8481721590314324,0.6435310975881383,2,movieId
88,9,0.8464731559810407,0.6418050187530139,2,movieId
89,10,0.8429105455674241,0.6395603866387749,2,movieId
90,11,0.8426946308859861,0.6393858253555554,2,movieId
91,12,0.8402681509667099,0.6382612134567732,2,movieId
92,13,0.8392719837534534,0.637121751078078,2,movieId
93,14,0.8387690189790298,0.6368223701467512,2,movieId
94,15,0.8368650216064677,0.6354323818674913,2,movieId
95,16,0.8358744281997468,0.6349804120147122,2,movieId
96,5,0.8587616022271445,0.648646469300766,2,userId
97,6,0.8515532118927769,0.6442518143071075,2,userId
98,7,0.8449675176922912,0.6396152516991126,2,userId
99,8,0.8413562601691069,0.6383049187881581,2,userId
100,9,0.8374467036530977,0.6346107079317636,2,userId
101,10,0.8342110149773292,0.6330895058173043,2,userId
102,11,0.8333666691415568,0.6323842037469477,2,userId
103,12,0.8342690001168938,0.6334427677302917,2,userId
104,13,0.8335929681125441,0.6328010775079046,2,userId
105,14,0.8322699697056563,0.6326871492751003,2,userId
106,15,0.8326328696005078,0.6330837461121972,2,userId
107,16,0.8328292176648476,0.6330856660139,2,userId
