,k,rmse,mae,it,normalize
0,5,0.851339823531932,0.6321845404828577,0,none
1,6,0.8472143392509399,0.630360477524341,0,none
2,7,0.8450582721289404,0.630612959469497,0,none
3,8,0.8431390322508988,0.6305450751729264,0,none
4,9,0.8428004150613184,0.6302004928955807,0,none
5,10,0.8402278841342781,0.6286470937581391,0,none
6,11,0.8400739614845221,0.6286152628439524,0,none
7,12,0.8413036084585038,0.6302852490202427,0,none
8,13,0.841429857947189,0.630502323029329,0,none
9,14,0.8417489891232713,0.631332875030357,0,none
10,15,0.842241377614537,0.6319555050347349,0,none
11,16,0.843027632160121,0.6332053799847172,0,none
12,5,0.8294035265221389,0.6167213993845543,0,movieId
13,6,0.8218113105616119,0.61344084093053,0,movieId
14,7,0.8181532935141416,0.6109101864576757,0,movieId
15,8,0.8139758737372297,0.6092606074992261,0,movieId
16,9,0.8134934364301127,0.6092558429079414,0,movieId
17,10,0.8119576556467071,0.6078644553937268,0,movieId
18,11,0.8109374490493797,0.6076798562946748,0,movieId
19,12,0.8103407222422574,0.6072889626833401,0,movieId
20,13,0.8099482178063626,0.607722903193777,0,movieId
21,14,0.8103550333287385,0.6084544911872535,0,movieId
22,15,0.8099905904547013,0.6072457927682771,0,movieId
23,16,0.8107750970793315,0.6081330978290874,0,movieId
24,5,0.8468564450706159,0.6282963185274096,0,userId
25,6,0.839543851145146,0.624839935974388,0,userId
26,7,0.8375911633464781,0.6245803083137947,0,userId
27,8,0.8361404387082119,0.6233047981097201,0,userId
28,9,0.8343546725859081,0.6220674976339888,0,userId
29,10,0.8344130131475139,0.6229761944460381,0,userId
30,11,0.8341116540445436,0.6234818512542089,0,userId
31,12,0.8346271691225321,0.6239346839024194,0,userId
32,13,0.8353983709953989,0.6249049438012481,0,userId
33,14,0.8356815270432596,0.6250135037087303,0,userId
34,15,0.8359550656627791,0.6255082254069331,0,userId
35,16,0.8370599046156477,0.6265819882454039,0,userId
36,5,0.8755320861398022,0.6500200120072006,1,none
37,6,0.8686919591410669,0.6467480488292986,1,none
38,7,0.865547222354843,0.6448207019449717,1,none
39,8,0.8609288356221486,0.6422584503082802,1,none
40,9,0.8592758385290337,0.6422216226561444,1,none
41,10,0.8570413445317527,0.6411726599451779,1,none
42,11,0.8576822932546802,0.6423883893828377,1,none
43,12,0.8574930862323373,0.6424422095537291,1,none
44,13,0.8584826272718739,0.6434040045794563,1,none
45,14,0.8594888729819932,0.644808693546686,1,none
46,15,0.8609892917634948,0.645089338123912,1,none
47,16,0.8625864507219635,0.6461307963321672,1,none
48,5,0.8216213211027582,0.6086776086863486,1,movieId
49,6,0.8138715993733624,0.6039753006506346,1,movieId
50,7,0.8113133805738827,0.6030772574683759,1,movieId
51,8,0.8097905308815498,0.6018067288786408,1,movieId
52,9,0.8117792532735849,0.6032358134141553,1,movieId
53,10,0.8119259419831518,0.603769170205195,1,movieId
54,11,0.8109955954296328,0.6036262606896116,1,movieId
55,12,0.8095417991205903,0.6035139531992414,1,movieId
56,13,0.8102294808083967,0.6051040744227254,1,movieId
57,14,0.810953480229424,0.6053814153365394,1,movieId
58,15,0.8109233434876499,0.6050572008524084,1,movieId
59,16,0.8113160087763779,0.6054803996157436,1,movieId
60,5,0.8506974936040778,0.6314972316723356,1,userId
61,6,0.8419411100478115,0.6270845840837823,1,userId
62,7,0.8401349298686003,0.6265676072310006,1,userId
63,8,0.8378692176166006,0.626044972221428,1,userId
64,9,0.8378195980710793,0.6257830094882473,1,userId
65,10,0.8359436018187579,0.6250964864633132,1,userId
66,11,0.8348385542696616,0.6254021243915167,1,userId
67,12,0.8349147004140703,0.6259259235194796,1,userId
68,13,0.8359070540899044,0.6268181255073352,1,userId
69,14,0.8364785685110158,0.627408864566158,1,userId
70,15,0.8368027781036017,0.6277345361595913,1,userId
71,16,0.8365929125318116,0.6275277454184801,1,userId
72,5,0.874871178126202,0.6459479969311809,2,none
73,6,0.8681738439702621,0.6410929317188678,2,none
74,7,0.86477702607781,0.6400445788242224,2,none
75,8,0.8622319646544174,0.6395638851958275,2,none
76,9,0.8609274514086128,0.6404221248524872,2,none
77,10,0.8592895137616732,0.6404777193241664,2,none
78,11,0.8598395717067675,0.6410644937025851,2,none
79,12,0.8612179643615113,0.6422638180781358,2,none
80,13,0.8615291558462714,0.6430271729393534,2,none
81,14,0.8625392172498985,0.6441064998968031,2,none
82,15,0.8629295918609318,0.644983304135961,2,none
83,16,0.8635512160172838,0.6462089537573626,2,none
84,5,0.8154013005856016,0.6098105268264798,2,movieId
85,6,0.8069331313286728,0.606373889563141,2,movieId
86,7,0.8032766691064975,0.6044429789224005,2,movieId
87,8,0.8007530822998631,0.6026930769184906,2,movieId
88,9,0.7985277289437593,0.6013813674541839,2,movieId
89,10,0.7972978899239901,0.6003320098588993,2,movieId
90,11,0.7972666311944192,0.6001891327755015,2,movieId
91,12,0.7970737507821326,0.6000808190694026,2,movieId
92,13,0.7977825476472968,0.6005233927713408,2,movieId
93,14,0.7971636117091984,0.6005201427060285,2,movieId
94,15,0.7970252024693274,0.6004538299822193,2,movieId
95,16,0.7970854124941623,0.6007249804827308,2,movieId
96,5,0.8534130730899738,0.6314184681078183,2,userId
97,6,0.8457799802667334,0.6276621297037603,2,userId
98,7,0.8417337342197405,0.6262407545083637,2,userId
99,8,0.8400621584175614,0.6248887800716763,2,userId
100,9,0.8393205866203899,0.6250528001766611,2,userId
101,10,0.8396475737200307,0.6249037920812901,2,userId
102,11,0.8385322422743839,0.62453940966626,2,userId
103,12,0.8381513067776131,0.6237433182476714,2,userId
104,13,0.838259604443295,0.6237888675075874,2,userId
105,14,0.8391606405659168,0.6247016856742131,2,userId
