,k,err,it,normalize
0,5,0.8686756616777581,0,none
1,6,0.8621851725831184,0,none
2,7,0.8627293176359105,0,none
3,8,0.8617247763690471,0,none
4,9,0.8599934300275326,0,none
5,10,0.8591041449092266,0,none
6,15,0.860763687964098,0,none
7,20,0.8671024882186775,0,none
8,30,0.8748160142888867,0,none
9,5,0.8225004697598771,0,movieId
10,6,0.8184484841252138,0,movieId
11,7,0.8163693092945719,0,movieId
12,8,0.8142495129532605,0,movieId
13,9,0.813665500598478,0,movieId
14,10,0.8122032962980932,0,movieId
15,15,0.8117311125110195,0,movieId
16,20,0.815412130825704,0,movieId
17,30,0.8232181424463666,0,movieId
18,5,0.8471921238572564,0,userId
19,6,0.8391098867412382,0,userId
20,7,0.8352335209258402,0,userId
21,8,0.8332547278881071,0,userId
22,9,0.8336061388919626,0,userId
23,10,0.8322104361234361,0,userId
24,15,0.8337082744814474,0,userId
25,20,0.8362831395872338,0,userId
26,30,0.8411008401721175,0,userId
27,5,0.8829524359434215,1,none
28,6,0.8755948920623525,1,none
29,7,0.8724595112447086,1,none
30,8,0.8716021469169134,1,none
31,9,0.872919095718402,1,none
32,10,0.872963214898465,1,none
33,15,0.8712644301060699,1,none
34,20,0.8753688828839372,1,none
35,30,0.8832161515082668,1,none
36,5,0.7969286080378937,1,movieId
37,6,0.790458352662986,1,movieId
38,7,0.7858271231159332,1,movieId
39,8,0.7834214478385184,1,movieId
40,9,0.7820874136616137,1,movieId
41,10,0.7816953774523933,1,movieId
42,15,0.7827622876911441,1,movieId
43,20,0.7859248129400782,1,movieId
44,30,0.7897227772659171,1,movieId
45,5,0.8565804305632159,1,userId
46,6,0.8490090437195482,1,userId
47,7,0.8454999725332571,1,userId
48,8,0.8403497634015297,1,userId
49,9,0.8389122845602087,1,userId
50,10,0.8371652327959537,1,userId
51,15,0.8367203887050336,1,userId
52,20,0.8382860630476145,1,userId
53,30,0.8446231488657329,1,userId
54,5,0.8614874743131257,2,none
55,6,0.8563248689355328,2,none
56,7,0.854141413144361,2,none
57,8,0.8506577640890981,2,none
58,9,0.8497941169723259,2,none
59,10,0.8484529926326063,2,none
60,15,0.8539295178637429,2,none
61,20,0.8584950461670342,2,none
62,30,0.8676308978981864,2,none
63,5,0.7940526028120171,2,movieId
64,6,0.7889993968835958,2,movieId
65,7,0.7857366382903412,2,movieId
66,8,0.7820207396391938,2,movieId
67,9,0.7806953908375293,2,movieId
68,10,0.7807965568003117,2,movieId
69,15,0.7811043086750891,2,movieId
70,20,0.7841647063210727,2,movieId
71,30,0.7912612575194146,2,movieId
72,5,0.8336399782477353,2,userId
73,6,0.826348334225901,2,userId
74,7,0.8213399087703975,2,userId
75,8,0.8177756201479213,2,userId
76,9,0.8172403507452902,2,userId
77,10,0.8169025599964391,2,userId
78,15,0.8169736522945558,2,userId
79,20,0.8195082812702751,2,userId
80,30,0.8261981128774999,2,userId
