,k,err,it,normalize
0,5,0.8949279042231386,0,none
1,6,0.8865366744524684,0,none
2,7,0.8785228846997618,0,none
3,8,0.8759475861171669,0,none
4,9,0.8735610220436134,0,none
5,10,0.8722457953279869,0,none
6,15,0.8674249025749076,0,none
7,20,0.8676409246467478,0,none
8,30,0.871732471586703,0,none
9,5,0.8676302904441026,0,movieId
10,6,0.858449015956574,0,movieId
11,7,0.8565831525984098,0,movieId
12,8,0.8541265134823535,0,movieId
13,9,0.8510108940079145,0,movieId
14,10,0.8475977149703751,0,movieId
15,15,0.8415016245655693,0,movieId
16,20,0.8383861931810908,0,movieId
17,30,0.8378685170943933,0,movieId
18,5,0.8636628826988815,0,userId
19,6,0.8556926904332078,0,userId
20,7,0.8466856980724761,0,userId
21,8,0.8423378634560281,0,userId
22,9,0.8406029962467041,0,userId
23,10,0.8391103992104089,0,userId
24,15,0.8329058164223603,0,userId
25,20,0.8318594776886344,0,userId
26,30,0.8364133627255802,0,userId
27,5,0.8819456540621781,1,none
28,6,0.8727383868419827,1,none
29,7,0.8661929808342085,1,none
30,8,0.861995049610113,1,none
31,9,0.8603057422262144,1,none
32,10,0.860327650700314,1,none
33,15,0.8571668280436109,1,none
34,20,0.8587328270477599,1,none
35,30,0.8637757541510642,1,none
36,5,0.8790722404997792,1,movieId
37,6,0.8730651067432532,1,movieId
38,7,0.8691167446106818,1,movieId
39,8,0.8651230117082758,1,movieId
40,9,0.8627636043377849,1,movieId
41,10,0.8600436558407546,1,movieId
42,15,0.85149428125192,1,movieId
43,20,0.8490364110359765,1,movieId
44,30,0.8465756812231303,1,movieId
45,5,0.8735586198578542,1,userId
46,6,0.8659672267258703,1,userId
47,7,0.862992087869311,1,userId
48,8,0.859873189181006,1,userId
49,9,0.8549224436251895,1,userId
50,10,0.85247848467919,1,userId
51,15,0.8482189134335525,1,userId
52,20,0.8472676371498058,1,userId
53,30,0.8494147467887911,1,userId
54,5,0.8738483635183614,2,none
55,6,0.864322287098368,2,none
56,7,0.8589176216388855,2,none
57,8,0.8562548130623324,2,none
58,9,0.8540227874128238,2,none
59,10,0.8518234878597478,2,none
60,15,0.8448372712355587,2,none
61,20,0.847084618196752,2,none
62,30,0.8496906278852925,2,none
63,5,0.8802421251492909,2,movieId
64,6,0.8725822158574038,2,movieId
65,7,0.8662555610735821,2,movieId
66,8,0.862464338255042,2,movieId
67,9,0.8597059991886798,2,movieId
68,10,0.8583305057657161,2,movieId
69,15,0.855270533781035,2,movieId
70,20,0.8521555767578914,2,movieId
71,30,0.8519282542282124,2,movieId
72,5,0.8632699086876804,2,userId
73,6,0.8556933636049137,2,userId
74,7,0.852469446368563,2,userId
75,8,0.8493073348318916,2,userId
76,9,0.8478272658147248,2,userId
77,10,0.8444419779321586,2,userId
78,15,0.837346533215705,2,userId
79,20,0.8351677457486215,2,userId
80,30,0.8386535757603251,2,userId
