,k,rmse,mae,it,normalize
0,5,0.8579897706228049,0.6481064749700414,0,none
1,6,0.8512605216379611,0.6440329218106985,0,none
2,7,0.8463669638506222,0.6418376383214655,0,none
3,8,0.8464899363630968,0.6403781468830695,0,none
4,9,0.8468355152093479,0.6408827830241395,0,none
5,10,0.8436991406807908,0.6405910707774274,0,none
6,11,0.8431734613861935,0.6395994385621614,0,none
7,12,0.8440772724539256,0.6409946613005679,0,none
8,13,0.8439729865214645,0.6407422180101436,0,none
9,14,0.844979757001736,0.6416944615784267,0,none
10,15,0.8458836016949035,0.6434726412047027,0,none
11,16,0.8467654085975632,0.6444321010161377,0,none
12,5,0.862917553477243,0.6515823298527561,0,movieId
13,6,0.8564097106946883,0.6469417567016762,0,movieId
14,7,0.8503878374805406,0.6426471803800232,0,movieId
15,8,0.844868974914522,0.6387589631416465,0,movieId
16,9,0.843426967181811,0.638013659671806,0,movieId
17,10,0.8405567466559367,0.6366894199669216,0,movieId
18,11,0.8386602543283832,0.6343838756893451,0,movieId
19,12,0.8375842258331289,0.6340718903850564,0,movieId
20,13,0.8374037779445114,0.6331543555266566,0,movieId
21,14,0.8368527682378906,0.6327531011133157,0,movieId
22,15,0.8366291678661022,0.632963461777475,0,movieId
23,16,0.8362643937485614,0.6324805936959491,0,movieId
24,5,0.8523458723481511,0.6400408099199447,0,userId
25,6,0.8443359357275253,0.6344111337832911,0,userId
26,7,0.8382689688664868,0.630401148059289,0,userId
27,8,0.833170907609954,0.6287390407426509,0,userId
28,9,0.8352660222105959,0.6313049208591552,0,userId
29,10,0.8342387511260205,0.6306613798137899,0,userId
30,11,0.8348175324120132,0.6304644648154228,0,userId
31,12,0.835796154954546,0.6323242175777102,0,userId
32,13,0.8362561851241528,0.6322970512108752,0,userId
33,14,0.8363815768683536,0.6329982022024085,0,userId
34,15,0.8375164976056411,0.6339093247741764,0,userId
35,16,0.8377993893243514,0.6344410309427575,0,userId
36,5,0.8631072188935995,0.6427837459131209,1,none
37,6,0.8537219865394308,0.637552545539468,1,none
38,7,0.8459123936841111,0.6346389092769319,1,none
39,8,0.8425512131347308,0.6335157136184694,1,none
40,9,0.842635518672086,0.6342357821222901,1,none
41,10,0.8447271012621492,0.6350254788718129,1,none
42,11,0.8432985506214603,0.6340580747983772,1,none
43,12,0.8429589948486927,0.6335349783504851,1,none
44,13,0.8417641817101637,0.6329216975527049,1,none
45,14,0.8421048871055988,0.6330790989244983,1,none
46,15,0.8424133020043183,0.6333256088627365,1,none
47,16,0.844091853370657,0.6348027223611061,1,none
48,5,0.8557246764931287,0.6438324709598376,1,movieId
49,6,0.849436369892698,0.6398148348234668,1,movieId
50,7,0.844966346823892,0.6373110584679215,1,movieId
51,8,0.8412432187223658,0.6349979889814157,1,movieId
52,9,0.8375802430697077,0.6335472703257834,1,movieId
53,10,0.8332619008695293,0.6299864052373891,1,movieId
54,11,0.8319991890710405,0.6290446979077068,1,movieId
55,12,0.830385344763628,0.6279621653708872,1,movieId
56,13,0.8292386618719997,0.6274284545190836,1,movieId
57,14,0.8284786184284825,0.6271832134610978,1,movieId
58,15,0.8285175751716941,0.6275732860112296,1,movieId
59,16,0.8280721447152385,0.627727829403501,1,movieId
60,5,0.8528272149827517,0.6370376225102693,1,userId
61,6,0.8462292819391635,0.6340657603540936,1,userId
62,7,0.8419995844106858,0.6313106905740525,1,userId
63,8,0.837989014171359,0.6303396413892778,1,userId
64,9,0.8328226431453518,0.627543640756971,1,userId
65,10,0.8327409741249883,0.6281917596314509,1,userId
66,11,0.8308147132423056,0.6273158650549528,1,userId
67,12,0.8301464289713649,0.6269679741956851,1,userId
68,13,0.8299163933926014,0.627256263469902,1,userId
69,14,0.830549124710298,0.6269388050825748,1,userId
70,15,0.8287597959365549,0.6264483876066982,1,userId
71,16,0.8298031947832789,0.6274423016123933,1,userId
72,5,0.854814530220432,0.6411672172408307,2,none
73,6,0.8483264525447891,0.6363850873053349,2,none
74,7,0.8460290406241068,0.6351715768893695,2,none
75,8,0.8424378229680167,0.6324229196161711,2,none
76,9,0.8412193813412059,0.6339501074930614,2,none
77,10,0.841631067258638,0.6347480030762237,2,none
78,11,0.8401223334947376,0.63373051340842,2,none
79,12,0.8412033244586982,0.6355455014197348,2,none
80,13,0.8399381186359203,0.634429731604102,2,none
81,14,0.8410979760654086,0.6357218954729558,2,none
82,15,0.8419946529921318,0.6366559988610428,2,none
83,16,0.8434992493882674,0.6385056658947643,2,none
84,5,0.8307994141397617,0.6295845886380063,2,movieId
85,6,0.8236027290000456,0.6257463458669572,2,movieId
86,7,0.8188324283748287,0.6217951278307654,2,movieId
87,8,0.8171126124004787,0.6198385106368637,2,movieId
88,9,0.8132920882390188,0.6181480840050934,2,movieId
89,10,0.8096652635984068,0.6156367897186834,2,movieId
90,11,0.8086322199989936,0.6148876992281919,2,movieId
91,12,0.8057899882073917,0.6133807801136828,2,movieId
92,13,0.8063651273675762,0.6142761836980015,2,movieId
93,14,0.8047321040223975,0.6137508438553857,2,movieId
94,15,0.8045302758861802,0.6132414277960703,2,movieId
95,16,0.8046425797987538,0.6139588737765144,2,movieId
96,5,0.8625063520291901,0.6396972505406191,2,userId
97,6,0.852279225658068,0.6333281845330043,2,userId
98,7,0.8453700941629038,0.6296946025861723,2,userId
99,8,0.8410415146925088,0.6291498411227328,2,userId
100,9,0.8410058956568994,0.6298159671653708,2,userId
101,10,0.8399521332755034,0.6292598967297776,2,userId
102,11,0.8391671261738436,0.6285030230813337,2,userId
103,12,0.8381546352775394,0.6286697740010968,2,userId
104,13,0.8361233444985319,0.6271652351355735,2,userId
105,14,0.8357243384507359,0.6270790917454482,2,userId
106,15,0.8368559636555767,0.6285354666957973,2,userId
107,16,0.8361365925058016,0.6286596815037503,2,userId
