,k,err,it,normalize
0,5,0.9186040395523771,0,userId
1,10,0.9085255647627387,0,userId
2,15,0.9026081633521599,0,userId
3,20,0.899099011930293,0,userId
4,30,0.8963568092278099,0,userId
5,40,0.8945865015717294,0,userId
6,50,0.8943981679628931,0,userId
7,5,0.9154329687881396,0,movieId
8,10,0.90516370334295,0,movieId
9,15,0.899640487207401,0,movieId
10,20,0.89574326874482,0,movieId
11,30,0.8916091911106928,0,movieId
12,40,0.890373705632622,0,movieId
13,50,0.8888952587347094,0,movieId
14,5,0.9132473581992268,1,userId
15,10,0.9015213462368785,1,userId
16,15,0.8963888028601765,1,userId
17,20,0.8941886307134497,1,userId
18,30,0.8931084016082563,1,userId
19,40,0.8914087541220655,1,userId
20,50,0.8910812597867758,1,userId
21,5,0.9119243429447623,1,movieId
22,10,0.9023547716246803,1,movieId
23,15,0.8962004455136239,1,movieId
24,20,0.8929912114948158,1,movieId
25,30,0.8881481967288379,1,movieId
26,40,0.8860062239799865,1,movieId
27,50,0.8838451588594171,1,movieId
28,5,0.917991088738317,2,userId
29,10,0.9079882185037385,2,userId
30,15,0.9035301651216886,2,userId
31,20,0.9000302510740917,2,userId
32,30,0.8983043782910721,2,userId
33,40,0.8970644507973399,2,userId
34,50,0.8975295919409333,2,userId
35,5,0.9202552797442655,2,movieId
36,10,0.9093473928891618,2,movieId
37,15,0.9023904813711796,2,movieId
38,20,0.8993112666822313,2,movieId
39,30,0.8960906897503451,2,movieId
40,40,0.8949446033087444,2,movieId
41,50,0.8927532343252994,2,movieId
42,5,0.9225967329855502,3,userId
43,10,0.9132032056568566,3,userId
44,15,0.9069016939349192,3,userId
45,20,0.9044334144398166,3,userId
46,30,0.9015954962865853,3,userId
47,40,0.8993845199275182,3,userId
48,50,0.8987438942757952,3,userId
49,5,0.9206945910172811,3,movieId
50,10,0.9114727859502707,3,movieId
51,15,0.9053048323206923,3,movieId
52,20,0.9014266024254621,3,movieId
53,30,0.8954996385514592,3,movieId
54,40,0.8932986843939306,3,movieId
55,50,0.8920516280358675,3,movieId
56,5,0.9266421391730758,4,userId
57,10,0.9159355594422784,4,userId
58,15,0.9101381324377766,4,userId
59,20,0.9079638726728695,4,userId
60,30,0.9052245165291162,4,userId
61,40,0.903701326038869,4,userId
62,50,0.9043051021131653,4,userId
63,5,0.9137860701188372,4,movieId
64,10,0.9029488467155378,4,movieId
65,15,0.8967821421212814,4,movieId
66,20,0.8939096093902049,4,movieId
67,30,0.8890564171665636,4,movieId
68,40,0.8862914231988626,4,movieId
69,50,0.8870021645589952,4,movieId
70,5,0.8991418119819582,5,userId
71,10,0.8892860191025214,5,userId
72,15,0.8840351202172593,5,userId
73,20,0.8808196302727085,5,userId
74,30,0.8775755317929652,5,userId
75,40,0.8750597155864414,5,userId
76,50,0.8743090089266294,5,userId
77,5,0.904392704602137,5,movieId
78,10,0.8943523578445454,5,movieId
79,15,0.8878564808917105,5,movieId
80,20,0.8845474216170572,5,movieId
81,30,0.8797373959482603,5,movieId
82,40,0.8776134498437305,5,movieId
83,50,0.8755959316213523,5,movieId
84,5,0.9251479692461043,6,userId
85,10,0.9144290771163816,6,userId
86,15,0.910653967934037,6,userId
87,20,0.9073187048541804,6,userId
88,30,0.9033626524053594,6,userId
89,40,0.8999015809304002,6,userId
90,50,0.899356448307129,6,userId
91,5,0.9049891518002047,6,movieId
92,10,0.8934282005898984,6,movieId
93,15,0.8882016523299499,6,movieId
94,20,0.8830682607064366,6,movieId
95,30,0.8785271492973122,6,movieId
96,40,0.8750080882373337,6,movieId
97,50,0.873235303721203,6,movieId
98,5,0.9351686488517789,7,userId
99,10,0.9242561178593321,7,userId
100,15,0.9196880922182841,7,userId
101,20,0.9165501049906961,7,userId
102,30,0.9136575685851471,7,userId
103,40,0.9122924608949365,7,userId
104,50,0.9118212804973436,7,userId
105,5,0.920116458011689,7,movieId
106,10,0.9111178149020545,7,movieId
107,15,0.9041306237447088,7,movieId
108,20,0.899426311732555,7,movieId
109,30,0.8950502050997137,7,movieId
110,40,0.8922702471776898,7,movieId
111,50,0.8899970437914164,7,movieId
112,5,0.9158266505385234,8,userId
113,10,0.9047494783777668,8,userId
114,15,0.8995507311816157,8,userId
115,20,0.8977399147443503,8,userId
116,30,0.8934304846180283,8,userId
117,40,0.8912068887032727,8,userId
118,50,0.8921548060988275,8,userId
119,5,0.9109348448872047,8,movieId
120,10,0.9020108804716959,8,movieId
121,15,0.8962238567830543,8,movieId
122,20,0.8933844435645991,8,movieId
123,30,0.8882680799435888,8,movieId
124,40,0.8850863414416329,8,movieId
125,50,0.8829652078157201,8,movieId
126,5,0.9145251991737576,9,userId
127,10,0.9032285408587265,9,userId
128,15,0.8968470942356367,9,userId
129,20,0.8936369272074774,9,userId
130,30,0.8912124068728796,9,userId
131,40,0.8886838032481529,9,userId
132,50,0.8897744245157875,9,userId
133,5,0.9160040273060206,9,movieId
134,10,0.9036982785427541,9,movieId
135,15,0.8976273952282442,9,movieId
136,20,0.8935931848861297,9,movieId
137,30,0.8887513695279505,9,movieId
138,40,0.8875880922627964,9,movieId
139,50,0.8865128415621336,9,movieId
