,k,rmse,mae,it,normalize
0,20,0.8926532999475151,0.6833749044517312,0,userId
1,30,0.8887530100441791,0.6794740828753585,0,userId
2,40,0.8877078991657791,0.6780909095863105,0,userId
3,50,0.887428788558699,0.6786225556324237,0,userId
4,60,0.8873703775265348,0.6790147291087207,0,userId
5,70,0.8882136565155524,0.6794317478427077,0,userId
6,80,0.889774730635939,0.6804099535210886,0,userId
7,90,0.889176115888859,0.6796533415325491,0,userId
8,100,0.8888024608137861,0.6796131761178333,0,userId
9,150,0.8908798207718402,0.6814473244743761,0,userId
10,200,0.8938843901857161,0.6842707330066877,0,userId
11,20,0.892456827627502,0.687309666443361,0,movieId
12,30,0.8868693999229863,0.6817658974412804,0,movieId
13,40,0.8856789201948012,0.6800663161945236,0,movieId
14,50,0.8831877016972999,0.6777629880951247,0,movieId
15,60,0.8826837700759315,0.6776601778705309,0,movieId
16,70,0.8829437382698192,0.6777401297591762,0,movieId
17,80,0.8832251667798912,0.6780570633292916,0,movieId
18,90,0.8818228450540933,0.6768899159252373,0,movieId
19,100,0.8825441336788323,0.6774065584136362,0,movieId
20,150,0.8847902671597362,0.6788352443448893,0,movieId
21,200,0.8885535508042276,0.682164318145056,0,movieId
22,20,0.8992269158222628,0.6837744154254275,1,userId
23,30,0.8985442696307178,0.6834296814687675,1,userId
24,40,0.8962835957982811,0.6818719048772237,1,userId
25,50,0.8963590938348721,0.6822098549108753,1,userId
26,60,0.8958781129159172,0.6814024535140673,1,userId
27,70,0.895847151499684,0.6812133660036981,1,userId
28,80,0.8969494196897431,0.6824670591168434,1,userId
29,90,0.8968938234330798,0.6821641455740491,1,userId
30,100,0.896683494798141,0.681988933143821,1,userId
31,150,0.899797718279535,0.6862672525923112,1,userId
32,200,0.9042450074638456,0.6901978525700067,1,userId
33,20,0.8969848996349834,0.6904736101750869,1,movieId
34,30,0.8913753583449248,0.6856150531656106,1,movieId
35,40,0.8872474782924644,0.6819151346956805,1,movieId
36,50,0.8858509799131538,0.6807148737688358,1,movieId
37,60,0.8848559357971747,0.6799586055132029,1,movieId
38,70,0.8847716540613358,0.6792658947947884,1,movieId
39,80,0.8843191136584496,0.6789223642335641,1,movieId
40,90,0.8849933247582532,0.6783848772121353,1,movieId
41,100,0.885824283647463,0.6788709091090966,1,movieId
42,150,0.8880498974270609,0.6805120398212997,1,movieId
43,200,0.8919324306858987,0.6840925191657785,1,movieId
44,20,0.8984402160321472,0.6791029111328726,2,userId
45,30,0.894706447451325,0.6774812931512599,2,userId
46,40,0.8938083064082117,0.6762049389634617,2,userId
47,50,0.8921699050950456,0.6753088709623182,2,userId
48,60,0.8905091592909662,0.6735847721892322,2,userId
49,70,0.8898886319517679,0.6731225086314157,2,userId
50,80,0.8910973852837627,0.6748016339001743,2,userId
51,90,0.8905758702470014,0.6745832742326435,2,userId
52,100,0.8912783660987796,0.6751495076462937,2,userId
53,150,0.8956471045054932,0.6789431969395932,2,userId
54,200,0.8994221573448985,0.6821698032080422,2,userId
55,20,0.8926913470087325,0.6838431719369626,2,movieId
56,30,0.8890472163115787,0.6802072429733236,2,movieId
57,40,0.888123332870586,0.6780178769398005,2,movieId
58,50,0.8854545680762095,0.6752964419781288,2,movieId
59,60,0.8857325585855393,0.6752859467459316,2,movieId
60,70,0.8849004602889723,0.6745935731263755,2,movieId
61,80,0.8834058962357074,0.6737750662665878,2,movieId
62,90,0.8833318954886866,0.6732962068717433,2,movieId
63,100,0.8834526830496091,0.6738942349913262,2,movieId
64,150,0.8856816932230528,0.676435934275855,2,movieId
65,200,0.8887408604916535,0.6792406875998999,2,movieId
