,k,err,it,normalize
0,5,0.898068312864367,0,userId
1,10,0.8979011268425271,0,userId
2,15,0.8988544835193426,0,userId
3,20,0.9009819973072158,0,userId
4,30,0.9047787935167892,0,userId
5,40,0.909052085907004,0,userId
6,50,0.9134799616661373,0,userId
7,5,0.9323588421312368,0,movieId
8,10,0.9325857835454137,0,movieId
9,15,0.9303473050784041,0,movieId
10,20,0.9286530653095987,0,movieId
11,30,0.9308462208735881,0,movieId
12,40,0.932891288629783,0,movieId
13,50,0.9355952991281428,0,movieId
14,5,0.897714564372535,1,userId
15,10,0.8978558690767012,1,userId
16,15,0.8968436394259363,1,userId
17,20,0.9012588016282768,1,userId
18,30,0.9054376773122196,1,userId
19,40,0.9082039826110322,1,userId
20,50,0.9133171419966205,1,userId
21,5,0.9202960163497416,1,movieId
22,10,0.9178551878854353,1,movieId
23,15,0.9174164926181537,1,movieId
24,20,0.918956010535257,1,movieId
25,30,0.9189077714818045,1,movieId
26,40,0.9206168219272332,1,movieId
27,50,0.9237276522928807,1,movieId
28,5,0.8968904292030422,2,userId
29,10,0.8961777971809954,2,userId
30,15,0.8970765376605441,2,userId
31,20,0.8990923780998487,2,userId
32,30,0.9033561264689618,2,userId
33,40,0.9054424919550604,2,userId
34,50,0.9105732257130231,2,userId
35,5,0.9308551876032024,2,movieId
36,10,0.9287941604059792,2,movieId
37,15,0.927216473760344,2,movieId
38,20,0.928594503349569,2,movieId
39,30,0.9311437959937379,2,movieId
40,40,0.9322893315376473,2,movieId
41,50,0.9340403282286911,2,movieId
42,5,0.8937153570587067,3,userId
43,10,0.8932512057940036,3,userId
44,15,0.8955760244198304,3,userId
45,20,0.897547290802505,3,userId
46,30,0.9033383114521127,3,userId
47,40,0.9058050282637136,3,userId
48,50,0.9106404526529752,3,userId
49,5,0.9229212452225051,3,movieId
50,10,0.9222237809083771,3,movieId
51,15,0.9229904932363235,3,movieId
52,20,0.9225140796821946,3,movieId
53,30,0.9248728863217822,3,movieId
54,40,0.9254027436575158,3,movieId
55,50,0.9273264516189635,3,movieId
56,5,0.891416440518608,4,userId
57,10,0.8930344901313636,4,userId
58,15,0.893078938273404,4,userId
59,20,0.8940669000103358,4,userId
60,30,0.8979818526895221,4,userId
61,40,0.9007722671718347,4,userId
62,50,0.9039393652564596,4,userId
63,5,0.9084072547341688,4,movieId
64,10,0.9053403534553319,4,movieId
65,15,0.9061605656265277,4,movieId
66,20,0.9077258115847593,4,movieId
67,30,0.906742288836579,4,movieId
68,40,0.9087681042937086,4,movieId
69,50,0.9104887067480825,4,movieId
70,5,0.8930472657285737,5,userId
71,10,0.8896730054674877,5,userId
72,15,0.8905620565182815,5,userId
73,20,0.8946667221734229,5,userId
74,30,0.9009730785721555,5,userId
75,40,0.9050689915795809,5,userId
76,50,0.9103488617036302,5,userId
77,5,0.9172720211726344,5,movieId
78,10,0.9146581372882794,5,movieId
79,15,0.9130764249038048,5,movieId
80,20,0.9120385811816101,5,movieId
81,30,0.9117400801534867,5,movieId
82,40,0.9150507734001101,5,movieId
83,50,0.9186947651533967,5,movieId
84,5,0.8939682162691154,6,userId
85,10,0.8925869235747583,6,userId
86,15,0.8932892511847832,6,userId
87,20,0.8958532790560112,6,userId
88,30,0.9019159312603646,6,userId
89,40,0.9055972528920064,6,userId
90,50,0.911181999344147,6,userId
91,5,0.9270211965901844,6,movieId
92,10,0.9241625464859526,6,movieId
93,15,0.9240879765173332,6,movieId
94,20,0.9248884622312724,6,movieId
95,30,0.9263073001668343,6,movieId
96,40,0.9271732485603956,6,movieId
97,50,0.9296668243549143,6,movieId
98,5,0.8974455413476402,7,userId
99,10,0.8973651093687876,7,userId
100,15,0.8987001281332568,7,userId
101,20,0.9005091362690066,7,userId
102,30,0.9046767026532503,7,userId
103,40,0.9086517570247965,7,userId
104,50,0.9136097039855787,7,userId
105,5,0.9348430462505058,7,movieId
106,10,0.9339463811330629,7,movieId
107,15,0.931868995917438,7,movieId
108,20,0.9343438873400279,7,movieId
109,30,0.9347508812664572,7,movieId
110,40,0.9352699114674767,7,movieId
111,50,0.9372928862000003,7,movieId
112,5,0.8904929327848748,8,userId
113,10,0.8871476198671477,8,userId
114,15,0.8883305390898235,8,userId
115,20,0.8918562197458089,8,userId
116,30,0.8966327230361036,8,userId
117,40,0.898907652708793,8,userId
118,50,0.9030333536446141,8,userId
119,5,0.9207902844505869,8,movieId
120,10,0.9183997989770111,8,movieId
121,15,0.9169318848716261,8,movieId
122,20,0.9160561660123417,8,movieId
123,30,0.9172264077184179,8,movieId
124,40,0.9194449253729341,8,movieId
125,50,0.9225920089524453,8,movieId
126,5,0.9089823153598605,9,userId
127,10,0.9090069341073674,9,userId
128,15,0.909378344023186,9,userId
129,20,0.911073578283572,9,userId
130,30,0.915389783579248,9,userId
131,40,0.9174460000121387,9,userId
132,50,0.9224114643341303,9,userId
133,5,0.922228839635636,9,movieId
134,10,0.9216912257711054,9,movieId
135,15,0.9221655756814247,9,movieId
136,20,0.9208950282401908,9,movieId
137,30,0.9213585481117263,9,movieId
138,40,0.9218490683926085,9,movieId
139,50,0.9226231951178722,9,movieId
