,k,rmse,mae,it,normalize
0,5,0.9013831441247553,0.691920164986311,0,userId
1,6,0.9013445627316925,0.6922303768213913,0,userId
2,7,0.9008125485468628,0.6915948006439372,0,userId
3,8,0.9013475781853333,0.6915224054579938,0,userId
4,9,0.9009513081995599,0.6918881953617124,0,userId
5,10,0.901038630159923,0.6921561600266825,0,userId
6,11,0.9009237522171908,0.6920489972387494,0,userId
7,12,0.9015382445041754,0.6926187069846133,0,userId
8,13,0.9011295935216683,0.6922113041490626,0,userId
9,14,0.9006077521220794,0.6918226460224027,0,userId
10,15,0.902721145821479,0.6934614095179812,0,userId
11,20,0.9043137710804212,0.6947897380782216,0,userId
12,30,0.9098672028805315,0.6998675089002856,0,userId
13,40,0.9143710229901559,0.7038690759247352,0,userId
14,5,0.901095262762288,0.7012273844114382,0,movieId
15,6,0.8998022950391528,0.6999232146997324,0,movieId
16,7,0.8986725769463181,0.6990307642942306,0,movieId
17,8,0.8986565533484759,0.6985094943799489,0,movieId
18,9,0.8983825468545362,0.6979445067111851,0,movieId
19,10,0.8978938676782621,0.697552339092068,0,movieId
20,11,0.8979826156761326,0.697558517061339,0,movieId
21,12,0.8971158079331621,0.6966609894924718,0,movieId
22,13,0.8967816707230245,0.6960708791592959,0,movieId
23,14,0.8973270616462949,0.6965491161408144,0,movieId
24,15,0.897107271555261,0.6961976263942784,0,movieId
25,20,0.8979223237506941,0.6971936036932761,0,movieId
26,30,0.900598888014766,0.6991638355225426,0,movieId
27,40,0.9008729639904167,0.6994403299213352,0,movieId
28,5,0.8914911801759904,0.6832228842924721,1,userId
29,6,0.8900314047667023,0.682005472487598,1,userId
30,7,0.8890552534263604,0.6811950867879287,1,userId
31,8,0.8891987325608992,0.6805393932768065,1,userId
32,9,0.8893203029975484,0.6802768381277223,1,userId
33,10,0.8894277108199968,0.6806380690062077,1,userId
34,11,0.8906299701639553,0.6821127726870022,1,userId
35,12,0.8907312268532626,0.6810348531299909,1,userId
36,13,0.8900705320301594,0.680666476279395,1,userId
37,14,0.889946106205222,0.6809804175404925,1,userId
38,15,0.8914323501963178,0.6814518954180653,1,userId
39,20,0.8926616615773393,0.6818573717012416,1,userId
40,30,0.8986145558746991,0.6875949537441028,1,userId
41,40,0.9033298902039937,0.6913589562518457,1,userId
42,5,0.9238814232554795,0.7128468875168721,1,movieId
43,6,0.9241480529750452,0.7125686086501315,1,movieId
44,7,0.9233083603399559,0.7110376334141588,1,movieId
45,8,0.9231179698511985,0.7109157394029919,1,movieId
46,9,0.9229593411448415,0.7102448836168909,1,movieId
47,10,0.9214468280577942,0.7092505068952019,1,movieId
48,11,0.9222882458828939,0.7099406465770874,1,movieId
49,12,0.9218253172197409,0.710211041132857,1,movieId
50,13,0.9208528039317558,0.7092292160520685,1,movieId
51,14,0.9211877697045162,0.7094276233096647,1,movieId
52,15,0.9209172538990376,0.7091304244718365,1,movieId
53,20,0.921137766394423,0.7090371976469888,1,movieId
54,30,0.9231860404784472,0.7101015777053701,1,movieId
55,40,0.9245796726590552,0.7124870112712657,1,movieId
56,5,0.8822454067290799,0.6792507365661429,2,userId
57,6,0.8820825588926765,0.6795327904400487,2,userId
58,7,0.8817568266722067,0.6792046483934185,2,userId
59,8,0.8836947779977075,0.6809142681345988,2,userId
60,9,0.8844282530421343,0.6808157964171034,2,userId
61,10,0.8855570128170399,0.6813175323921721,2,userId
62,11,0.8870174387291125,0.6819791971394341,2,userId
63,12,0.88802682783077,0.6831409038150239,2,userId
64,13,0.8890532030502187,0.6841973968446265,2,userId
65,14,0.888757965546351,0.684132015545368,2,userId
66,15,0.8888540200739308,0.6844349168399598,2,userId
67,20,0.8915811262802594,0.6857859520518234,2,userId
68,30,0.8963726445265768,0.6909227964603948,2,userId
69,40,0.901221671367641,0.6950746682850965,2,userId
70,5,0.9076748949603407,0.6981708235574198,2,movieId
71,6,0.9064052665156083,0.6975447143933814,2,movieId
72,7,0.905126021896552,0.6971642784282961,2,movieId
73,8,0.9053229400583295,0.696547943773171,2,movieId
74,9,0.90426377584985,0.6960421864163853,2,movieId
75,10,0.9035404126249248,0.695368860630366,2,movieId
76,11,0.9046375336917488,0.6960488690099783,2,movieId
77,12,0.9039401476740194,0.6958223220416894,2,movieId
78,13,0.9023018986407625,0.6942756475017647,2,movieId
79,14,0.9023335440772,0.6940844462838643,2,movieId
80,15,0.9027645084184045,0.6938491538248965,2,movieId
81,20,0.9036465891053836,0.6941491838181263,2,movieId
82,30,0.9067503104506274,0.6962515016618965,2,movieId
83,40,0.908121324260449,0.6971274780954109,2,movieId
