,k,rmse,mae,it,normalize
0,20,0.9083740353646186,0.6936231169622143,0,userId
1,30,0.9061141243961583,0.6915059532640688,0,userId
2,40,0.9043103097829384,0.6901776935013252,0,userId
3,50,0.9039186748614242,0.6897448072648291,0,userId
4,60,0.9034279913165273,0.6883115421729479,0,userId
5,70,0.903610531207419,0.6888727191324344,0,userId
6,80,0.9035861303670351,0.6894163489283069,0,userId
7,90,0.9038805481781842,0.6901418685460744,0,userId
8,100,0.9053362780153542,0.6908155348917419,0,userId
9,150,0.9078919407060037,0.6930549215566494,0,userId
10,200,0.9101984477553066,0.695702700779791,0,userId
11,20,0.914070696633642,0.7040018979368655,0,movieId
12,30,0.908473398171507,0.6990563949315847,0,movieId
13,40,0.9061534241736822,0.6966904768069395,0,movieId
14,50,0.9049661102135123,0.695921205431173,0,movieId
15,60,0.9055950693292409,0.6961854914612627,0,movieId
16,70,0.9052084963864232,0.6958593608555206,0,movieId
17,80,0.9048838461625682,0.6957468874084489,0,movieId
18,90,0.9040527097906619,0.6947119513258059,0,movieId
19,100,0.9059290760192154,0.6959358106948869,0,movieId
20,150,0.9082745049994735,0.6974508787361973,0,movieId
21,200,0.9093806194917481,0.6984987722715102,0,movieId
22,20,0.9055913879506843,0.6923433117445529,1,userId
23,30,0.9019358990369768,0.6897674192276977,1,userId
24,40,0.9001481899049155,0.6881717285170699,1,userId
25,50,0.8980187973015729,0.6875596257278965,1,userId
26,60,0.8964060280388843,0.6863417575446827,1,userId
27,70,0.8967589013579377,0.6866228441442903,1,userId
28,80,0.8974703583877668,0.6871216108512914,1,userId
29,90,0.8981614946506074,0.6879987354103629,1,userId
30,100,0.8989227207070872,0.6880492297069163,1,userId
31,150,0.9012382293794714,0.690474328491726,1,userId
32,200,0.9053471349984661,0.6940440657250899,1,userId
33,20,0.9050076725888564,0.6939176287477278,1,movieId
34,30,0.9015893660967597,0.6903559846332041,1,movieId
35,40,0.8997167323042184,0.6888646753883404,1,movieId
36,50,0.8980669410278556,0.6877543511875851,1,movieId
37,60,0.8978899101373372,0.6872537678796488,1,movieId
38,70,0.8981568151747233,0.6870528415432657,1,movieId
39,80,0.898165638270305,0.6867151515779774,1,movieId
40,90,0.8986391473362751,0.6867650833366676,1,movieId
41,100,0.8993249418648444,0.6866645053373533,1,movieId
42,150,0.9028688266255288,0.6894090745995501,1,movieId
43,200,0.9062720628009235,0.6923530416071233,1,movieId
44,20,0.9026796503708234,0.6875065617331542,2,userId
45,30,0.9011115298119652,0.6860512006498203,2,userId
46,40,0.8999324983568847,0.6854260404342543,2,userId
47,50,0.8993228561196317,0.6850199207680325,2,userId
48,60,0.8986928403004051,0.6845586230192293,2,userId
49,70,0.897908166858848,0.6840063613056275,2,userId
50,80,0.8988615658652631,0.6853835768435043,2,userId
51,90,0.8994947758581586,0.685644823541665,2,userId
52,100,0.8997511761783582,0.6858587224774022,2,userId
53,150,0.9025509050005526,0.6885328530883154,2,userId
54,200,0.9069408775310055,0.6922202424144388,2,userId
55,20,0.9076807464737229,0.6979508936209227,2,movieId
56,30,0.9038658402607314,0.6938318642835789,2,movieId
57,40,0.900348051371541,0.6911028990356731,2,movieId
58,50,0.8969823030231616,0.688259898817541,2,movieId
59,60,0.8952637719126044,0.6869633572671969,2,movieId
60,70,0.8952019983045659,0.686432503345058,2,movieId
61,80,0.8948067117711849,0.6859322672570489,2,movieId
62,90,0.893827402186982,0.6853900648448583,2,movieId
63,100,0.894937770953585,0.686213364858033,2,movieId
64,150,0.9002125787003407,0.6901164619160527,2,movieId
65,200,0.9008648966842329,0.6927100247378355,2,movieId
