,k,rmse,mae,it,normalize
0,20,0.8903346939874754,0.6860949189860132,0,userId
1,30,0.8956444465565193,0.6911011029938171,0,userId
2,40,0.900797537703197,0.6956167396363337,0,userId
3,50,0.906010997166634,0.7006580455781527,0,userId
4,60,0.9083324945593692,0.7037765534527588,0,userId
5,70,0.9103518398733158,0.7062441696539896,0,userId
6,80,0.9124961522460131,0.7089407688641178,0,userId
7,90,0.9140848039888556,0.7103084482825324,0,userId
8,100,0.9159175771608377,0.7115428992501452,0,userId
9,150,0.9230124961682346,0.7181184661197828,0,userId
10,200,0.9245518114800216,0.7201858079218315,0,userId
11,20,0.9065355082993596,0.6971796165969083,0,movieId
12,30,0.909025666207228,0.6986608534850065,0,movieId
13,40,0.9135126084797718,0.7023784605716534,0,movieId
14,50,0.9152145640964359,0.7038172117552682,0,movieId
15,60,0.9153096725959635,0.7048140395050689,0,movieId
16,70,0.9169910820374125,0.7056116586148483,0,movieId
17,80,0.9185140001250254,0.7077357201405804,0,movieId
18,90,0.9206270041847952,0.7096134661266773,0,movieId
19,100,0.9230694611766391,0.7120031145067465,0,movieId
20,150,0.9273284724108418,0.7163293015611408,0,movieId
21,200,0.9306432033811464,0.7191887723442016,0,movieId
22,20,0.8944692391749046,0.6884860495797419,1,userId
23,30,0.8995349345111704,0.6926342006336531,1,userId
24,40,0.9043520587574735,0.696548392685697,1,userId
25,50,0.9087375288167203,0.7005919330822606,1,userId
26,60,0.911790901129303,0.7039385977418776,1,userId
27,70,0.9145265822971438,0.706611263114278,1,userId
28,80,0.9147816859985499,0.7077323420036314,1,userId
29,90,0.9174580798821044,0.7100817874034515,1,userId
30,100,0.9199114890624992,0.7121535167865517,1,userId
31,150,0.9259252692016481,0.7188018985015734,1,userId
32,200,0.9280485040532837,0.7213752617729816,1,userId
33,20,0.9147552290070421,0.707410929692561,1,movieId
34,30,0.9175154837180662,0.7088527329571354,1,movieId
35,40,0.9184311277655901,0.7092132063537361,1,movieId
36,50,0.9208048775024475,0.7104957601075498,1,movieId
37,60,0.922036348953071,0.7121628481689043,1,movieId
38,70,0.9236317320067988,0.7138597026189815,1,movieId
39,80,0.9265816604633792,0.7158904296361309,1,movieId
40,90,0.927946771526984,0.7168669636505337,1,movieId
41,100,0.9288171774589415,0.7171530485302106,1,movieId
42,150,0.9343100793257065,0.723214439141329,1,movieId
43,200,0.9373719157999013,0.7268472788456649,1,movieId
44,20,0.8927435097705888,0.6830811697215601,2,userId
45,30,0.8996642787889548,0.687544741508735,2,userId
46,40,0.9043732626180372,0.6920435157735441,2,userId
47,50,0.9090098163396199,0.696948655555809,2,userId
48,60,0.912256347807226,0.7004144847152908,2,userId
49,70,0.9147167764971021,0.7031774642197278,2,userId
50,80,0.914729951433319,0.7036444021121918,2,userId
51,90,0.9172034651097956,0.7056625075093637,2,userId
52,100,0.9181810560770025,0.70587582748195,2,userId
53,150,0.9233737896097437,0.712470729647803,2,userId
54,200,0.9260460481890582,0.714484935448478,2,userId
55,20,0.9030948354210381,0.7006016882625223,2,movieId
56,30,0.9036411453313837,0.6993195242716754,2,movieId
57,40,0.9047762364820322,0.7002106371295045,2,movieId
58,50,0.9086064317682494,0.7044545480713397,2,movieId
59,60,0.9097561408562076,0.7054497035372533,2,movieId
60,70,0.9130484266141611,0.7083065082808352,2,movieId
61,80,0.9138199194583145,0.7094920220633131,2,movieId
62,90,0.915585852666045,0.7106026651646526,2,movieId
63,100,0.916426595563135,0.7117468330438178,2,movieId
64,150,0.9225262067881429,0.718022999881328,2,movieId
65,200,0.9257183967979361,0.720873672418698,2,movieId
